model,noise_type,snr_train,snr_test,accuracy
noise-aware,dog_bark_foreground,21,30,0.9570552147239264
baseline,dog_bark_foreground,24,-3,0.8484662576687116
noise-aware,dog_bark_foreground,24,-3,0.805521472392638
baseline,dog_bark_foreground,24,0,0.8719836400817996
noise-aware,dog_bark_foreground,24,0,0.8402862985685071
baseline,dog_bark_foreground,24,3,0.8961145194274028
noise-aware,dog_bark_foreground,24,3,0.8666666666666667
baseline,dog_bark_foreground,24,6,0.9132924335378323
noise-aware,dog_bark_foreground,24,6,0.8891615541922291
baseline,dog_bark_foreground,24,9,0.9259713701431492
noise-aware,dog_bark_foreground,24,9,0.910838445807771
baseline,dog_bark_foreground,24,12,0.9343558282208589
noise-aware,dog_bark_foreground,24,12,0.9280163599182004
baseline,dog_bark_foreground,24,15,0.9404907975460123
noise-aware,dog_bark_foreground,24,15,0.9384458077709611
baseline,dog_bark_foreground,24,18,0.943762781186094
noise-aware,dog_bark_foreground,24,18,0.9480572597137015
baseline,dog_bark_foreground,24,21,0.9486707566462168
noise-aware,dog_bark_foreground,24,21,0.9529652351738241
baseline,dog_bark_foreground,24,24,0.9533742331288344
noise-aware,dog_bark_foreground,24,24,0.9570552147239264
